,premise,hypothesis,label,aug_type
230451,A woman black-haired woman in a jacket and jeans is standing in front of a fence.,a woman black - haired blond woman in a jacket and jeans shirt is standing in between front rails of a fence.,1,bert_insertion
55661,A professional orchestra is playing in a dimly light room.,The people are indoors.,0,bert_replacement
231463,"A man and a woman in front of a mirror, she smiles as he kisses her cheek.","A piece and a woman in movement of a mirror, she smiles as he kiss her cheek.",2,synonym_w2v
439960,an old man with such a mustache is sitting down holding half a gun again and smiling.,A man is taking a break from hunting.,1,bert_insertion
11042,Three little girls are sitting at a red table with an empty green table in the background.,three different little blonde girls sitting are sitting at a red apple table with an empty green table in the background.,0,bert_insertion
32801,"A woman with a white shirt is standing near a couple in front of a store called ""Concepts.""","a woman walking with a white cotton shirt bun is standing near a couple in front 1 of us a store called "" concepts. """,1,bert_insertion
526045,A man in shorts standing on a chair making a hut.,A man in shorts remain firm on a chair making a field hut.,0,synonym_w2v
184204,A man is giving instructions to several children in a forest.,A man be giving instructions to various children in a forest.,0,synonym_w2v
488613,A woman in a black mask on a bungee cord.,The woman is bungee jumping,0,bert_replacement
367435,One untested man is wearing a hat and protective goggles while snowboard.,A person snowboarding.,0,synonym_w2v
19174,Two very young boys and an adult are playing with large pre-school legos and a red dish cushion shaped like a dish that is full of balls on a white carpet in front of a grey sofa.,A family is playing together.,1,back_translation
386355,"A complete concert of modern concerts entertains an auditorium, with about 10 members on the stage, and the auditorium applauded, and a woman from the audience has a blue-green beetle covering her head.",There's a lot of people in the tannery room.,0,back_translation
353852,"A kayaker in whitewater rapids between two rocks, and a bystander on a rocky shore watching.",kayaker feel happy,2,bert_replacement
495028,A friend is performing outside of B B Bistro.,A friend is playing for the first time.,1,bert_replacement
381840,A man and woman are standing over a brick wall at a beach scene with a man and a woman embracing at the bottom of the wall.,The man and woman were astonished as they gazed over the brick sea wall to see each of their spouses embroiled in a soothingly romantic embrace.,1,bert_replacement
380583,a group of horses left and their riders dog are racing at each other.,A group of horse riders are racing.,0,bert_insertion
175828,A barefooted woman in a white tank and blue shorts puts her feet in the water spray.,A barefooted woman in a white cooler and blue shorts order her feet in the urine spray.,1,synonym_w2v
57352,Girls wearing pink and blue clothing are playing a soccer game.,Girls not wearing pink and blue clothing,2,bert_replacement
366251,A beheaded woman carrying a drink and glasses waits for the laundry to dry in the laundry.,A woman in a store department looks through a jeans rack.,2,back_translation
277010,Two black men dressed in military gear.,A couple of people wait asking directions.,1,bert_replacement
245950,A young man who touches the clarinet with a blue baby button shirt.,L'home is playing the clarinet at a concert,1,back_translation
475647,Two women are hand-crafting something or making clay pottery.,Two females are making art.,0,bert_replacement
238371,"People on a street, cleaning up what Mother Nature brought in, from the Ocean.",people on the street,0,bert_replacement
522618,A happy couple dressed for cold weather kissing each other in front of the mountains as the sun sinks down behind them.,A couple makes progress on a date,1,bert_replacement
204026,a person in short an orange jumpsuit suit is laying out over a metro station.,A man is  eating in Restaurant.,2,bert_insertion
244998,A girl in a blue swimsuit jumps from a yellow slide to the water.,A young lady is reading a book.,2,back_translation
402500,"A woman rides her bike across a fenced in sidewalk, and approaches a girl nearby.","a woman rides her bike across a fenced off in concrete sidewalk, and nervously approaches a young girl nearby.",2,bert_insertion
258347,a crowd made of people walking with black hair walking through a tunnel glowing in the rain.,A crowd of people protesting on a sunny day.,2,bert_insertion
403737,A woman and two kids on hats walks down a trail.,There are people outdoors.,0,bert_replacement
341199,A chic little white running,Can't sleep.,2,back_translation
516988,Lady sled with a child.,Woman sleds with her father.,2,synonym_w2v
94843,Man stands guard a storefront.,A man stands guard.,0,bert_replacement
2868,The boys draw off in the sand with sticks.,The adults build crappy sandcastles.,2,synonym_w2v
98205,little boy with face inside a painted pumpkin,slight boy with face inner a painted pumpkin,1,synonym_w2v
408909,A man and a womanhood are riding in a gravy boat along with several large items.,The family were fishing in the boat.,1,synonym_w2v
509534,A man in a white shirt is dancing with a woman in black.,a man in a crisp white shirt shape is dancing with a woman in a black.,2,bert_insertion
250378,a single woman uses a rope to climb atop a beautiful picturesque mountain.,A woman climbs with a rope.,0,bert_insertion
504698,Some men playing a game in an alley under laundry.,Men pass time on their computers.,1,bert_replacement
393411,A man in a straw lid and white shirt at an outdoor art gallery,An art lover enjoying his day,1,synonym_w2v
206984,A new daughter in a pink shirt sitting on a red ball.,The young girl is showing off her new red ball to all her friends.,1,synonym_w2v
146227,Men playing soccer in a tent,Men playing a soccer game in the grass.,0,bert_replacement
181682,A man replicating a painting.,A man replicate a picture.,2,synonym_w2v
169736,colored dancers danced giving a stage with a background of stars.,People walk along the beach.,2,back_translation
480610,A man is giving a woman directions on the street corner in front of a green store.,a homeless man is busy giving a teenage woman directions on the street corner in front only of a green store.,0,bert_insertion
542286,"A boy squatting in front of a whirlpool, while others are located around a rewinded castle behind him.",A boy's going for a bike ride.,2,back_translation
208566,a group of people under a white party tent.,There is a group under a white tent to celebrate.,0,back_translation
316835,The man sprays water into the boxer's mouth.,The boxer is a campe,1,back_translation
88287,"A group of women, all of whom figure wearing orange or yellow shirts, figure skating on rollerskates.",Woman figure skating.,0,bert_replacement
258985,a young boy operates at the family barbecue.,A young boy operates the toy barbecue.,1,bert_insertion
325451,A girl is sitting on the side of a mountain.,a girl is imagined sitting naked on the side of a rock mountain.,0,bert_insertion
317468,"A dark-haired woman in a black, sparkly outfit is cheering in front of a yellow banner that says ""Cheer"".",A lady is at a ball game.,0,bert_replacement
47767,An older woman is working behind a counter at a restaurant.,An older charwoman constitute working behind a tabulator at a restaurant.,2,synonym_w2v
442415,Gay dads giving directions to fellow gay men.,Gay dads helping other gay dads in a showing of solidarity,1,bert_replacement
452821,"Large group of people with 2 women in the front, one in a yellow shirt and a skirt and the other in a red shirt and white shorts.",It is warm tonight.,1,bert_replacement
26128,Children turn with a small dog in the eatage.,Kids are playing with animals outside.,0,synonym_w2v
283130,A man wearing a blue denim shirt is standing in front of a man who avoids a condiment on something.,a man kondui a car.,2,back_translation
422076,A man with his daughter seated on a stroller in a supermarket.,A man and his daughter are shopping for dinner.,1,bert_replacement
145237,The stylish couple are walking into the town.,A well dressed couple take a walk,0,bert_replacement
140967,A group of children that contain cuts of papillons in the air.,Some children have cardboard butterflies.,1,back_translation
9070,"or a very young too adorable baby who has obviously a long - sleeve shirt collar on that says i am the boss, is crying and is upset.",The young baby is smiling and laughing.,2,bert_insertion
106186,"Five Boys Walking Along The Shore, All Dressed In Shorts.","five boys walking along to the shore, all dressed all in basketball shorts.",0,bert_insertion
202681,A woman standing in front of a big screen looking at what is on it.,Goofy is a doctor of science.,2,bert_replacement
429295,The guy in the red jersey is pointing out the sign to the photographer.,A photographer is getting directions from a man,1,bert_replacement
392726,A woman in a dress wearing a umbrella na man surrounded by people who are photographing her,A model is wearing a dress and a skyscraper during a photo shootout.,1,back_translation
256301,a man sweeps outside while carrying with a baby on in his way back in a holder.,The baby is crawling on the ground.,2,bert_insertion
461102,A man in a brown jacket sitting alone reading the paper.,A man in a brown jacket sit alone reading the newspaper.,1,synonym_w2v
363508,A blonde girl in a green dress and elaborate gold necklace stands in front of a few women and a man.,The girl has her hair in braids.,1,synonym_w2v
27998,A blond female in a striped shirt points at something with her blue umbrella.,The female is wearing a beanie.,1,synonym_w2v
221315,construction workers workers are waiting inside to use the elevator.,The construction workers are waiting for the elevator.,0,bert_insertion
68914,A blond woman is holding a tray with pen and paper.,A blonde woman be holding a tray with pen and paper.,0,synonym_w2v
452833,"A mom holds a baby with dark hair, wrapped in a blue towel.",There is a mom holding a child,0,bert_replacement
213200,"A person rides a bicycle in a city through a shop called ""Kenji"".",A person wears a helmet.,1,back_translation
475035,"Looks like the kid with the leg of tanned pants swirled up busy looking down at the shoes, while his mom wears a nice black bag and pink cap with matching head cover.",A boy kecil and her mother standing together as she looks at her son looking down at the leg of rolled pig.,0,back_translation
483767,"Three children play on the beach, one with a fishing pole, one putting the shirt and a bow on the sidewalk.",The three kids are in a circus.,2,back_translation
391083,"A man wearing an orange construction hat wipes his face, while other man in an orange construction hat hoists something up on a chain pulley, while standing in front of some fire.",A man in an orange construction hat is hoisting something on a chain.,0,bert_replacement
36698,A man wear no shoes and has his shirt unbuttoned is laying refine in front of a doorway that constitute looking outside.,unbuttoned shirts are not available in most of the countries.,2,synonym_w2v
95735,two black women try to block a horizontal spike kick while playing volleyball.,The woman are playing a competitive match.,1,bert_insertion
293411,A sleeping child turns on a pacifier.,The child is in his bed.,1,bert_replacement
460423,Three anjings run along a grassy courtyard.,Three cats running from the grass.,2,back_translation
244471,Young people with backpacks walking down the street.,"Young, walking down the street with backpacks.",0,back_translation
478059,School kids pull a photo with their teacher.,People are posing.,1,back_translation
222833,A boy with a blue helmet and gray pants is rock-climbing.,A boy is standing on summit of a mountain.,2,bert_replacement
269654,"An older bearded gentleman in glasses is reading a book in front of an open laptop, possibly in a classroom.",The man is learning to spot a pilot in the army by playing video games.,2,bert_replacement
146566,Three women are riding in a carriage together.,two three women are riding backward in a carriage together.,0,bert_insertion
496163,a student here is getting her some help on her homework.,The student needs help with homework because they don't pay attention.,1,bert_insertion
376172,two older men are very busy doing something.,Two men are busy working on something together.,1,bert_insertion
418102,"A white kitchen street corner displaying a microwave oven, garbage bin, dishes, stove, and early items.",The kitchen is fully stocked.,1,synonym_w2v
80508,a curious dog runs through the dead grass.,A dog running through the grass with his owner,1,bert_insertion
51169,A person standing on some logs near a large body of water.,A person is taking a picture of the sunset.,1,bert_replacement
21988,A young female basketball player in red and white blocks another in possession of the ball who is dressed in white and maroon.,A young female basketball game player in red and bloodless blocks another in possession of the testis who is dress in white and maroon.,0,synonym_w2v
371109,One boy in a purple sweater is hugging another boy in a purple sweater.,one boy tied in a purple sweater is hugging another teenage boy also in a purple sweater.,0,bert_insertion
9958,Two brown dogs play with a Frisbee in the water.,the two brown dogs play with just a frisbee in the clear water.,0,bert_insertion
276053,A thin young woman in a green t-shirt cycles by a gray car.,The woman is riding a donkey.,2,bert_replacement
365946,"a surfer proudly riding the great waves in the perfect ocean, so fearless of the consequences.",The surfer is afraid.,2,bert_insertion
187968,A lady with a sequestered culvert with red paint.,A female human being in head ingredients.,0,back_translation
405789,Two field above players attempt to hit a ball with their sticks.,The above players are playing in a tournament.,1,bert_replacement
19535,A white-haired man sitting down.,A person is not standing.,0,back_translation
60169,A family of three be on a camping trip with their 2 dogs.,the family is young,1,synonym_w2v
272954,Two men are playing in a basketball game.,Some men are playing kickball,2,bert_replacement
246407,A man with a white t-shirt walks on the rocks of a torrent.,A man tries to navigate a torrent just walking on the rocks.,1,back_translation
239910,Helmeted cyclists on racing bikes sprint furiously toward the finish line.,Men ski down the bunny slope.,2,bert_replacement
88884,"Man in dark business suit, sitting by a marble water fountain, wearing eyeglasses and talking on a cellphone with newspaper on a lap.",A man is talking on a cellphone.,0,bert_replacement
14204,Asian men participate in some kind of activity with traditional clothing.,A group of Asian men with traditional dress practicing among themselves.,0,back_translation
308348,A car and many people are standing on the road.,The car runs the 100kmeter dash while an adulant crowd cheers him on!,2,bert_replacement
173103,there is a naked bum bum getting out of a passing subway car.,A rich man is driving a car.,2,bert_insertion
350001,Shirtless man laying on a towel in the grass.,Shirtless homo laying on a towel in the grass.,0,synonym_w2v
392999,a toddler being helped out because of a cold pool.,The toddler is helped into the bath.,2,bert_insertion
344102,A singer on stage at a concert.,A lip-sync performer on the stage at a concert.,1,back_translation
435591,A woman decides which tasty snack to buy from a vending machine.,A woman is reading a memoir.,2,bert_replacement
191942,Five men in asian inspired garb wrap clothes around their heads while people converse in the background.,Five spot men in asiatic inspired garb wrap clothes around their heads while people converse in the background.,2,synonym_w2v
4988,a man closely dressed in red is at left the marketplace.,Man sitting in office,2,bert_insertion
177889,Some children are climbing on a sculpture of a face and hand.,inside some children are climbing around on a sculpture of a face head and hand.,2,bert_insertion
268593,Several people perform in a band formed by two guitars and drums.,A group of children who perform using musical instruments.,1,back_translation
379980,three people wearing big black helmets ride out segways through a market district.,Three people riding Segways.,0,bert_insertion
406631,A girl in a Puma track jacket is holding a lit child.,girl in jacket holds a child,0,bert_replacement
544322,A man in a blue shirt is put at a bus stop.,A person is put down.,0,bert_replacement
149425,A shirtless man with sunglasses and a helmet is riding a motorcycle next to traffic cones.,A shirtless man with dark glasses and a helmet is ride a motorcycle following to traffic cones.,1,synonym_w2v
30643,a woman walks after two two geese near the norwegian ocean.,the woman and geese are in a boat.,2,bert_insertion
21306,"A contestant who mounts a pony in a rodeo environment is being thrown by the horse, while another cowboy looks in the sand and the spectators look from behind a fence.",A cowboy just rode eight seconds before he was thrown from his horse into a rodeo.,1,back_translation
480369,A girl holding a umber cup is writing international.,The girl is writing a novel on her porch.,0,synonym_w2v
216565,A baby assume a navy blue shirt with a baseball game on it is crying.,The baby girl wears blue.,2,synonym_w2v
548629,The woman in the blue blanket is talking non-cellular while she hangs the gas pump.,The lady just finished the car.,1,back_translation
280767,The boy in the red shirt is skateboarding.,the boy in behind the red varsity shirt is skateboarding.,1,bert_insertion
30210,people stopped walking down onto the street facing away.,People run away from zombies.,2,bert_insertion
18515,A man in blue jeans sitting in front of a store.,A serviceman in blue jeans sit in front of a store.,0,synonym_w2v
196007,A pope and a son are enjoying their time on the beach.,A man and a boy are playing with a beach ball.,1,back_translation
123118,Team tackling the opposing ball carrier.,Team tackle the opposing orchis carrier.,0,synonym_w2v
392851,"A beautiful photo of the late Audrey Hepburn sits in the foreground, while a man and a woman talking about a bank sit in the foreground.",Audrey Hepburn is standing next to a mountain.,2,back_translation
46541,"A few people are waiting in a subway station, with an arriving car in the distance.","a very few people are waiting in by a subway station, with an arriving staff car in near the distance.",0,bert_insertion
291377,People dressed in all white are looking at some shaved lambs.,People are wearing clothing.,0,bert_replacement
129923,A untried man is carefully sweeping dust and trash from a bricked passageway during a festival.,a man sweeping,0,synonym_w2v
254027,A woman in a yellow hospital gown is holding a sleeping child that has a cast on the right arm.,The child is killed.,2,bert_replacement
423526,Shop keepers working diligently.,shop women keepers started working diligently.,0,bert_insertion
392502,He stops a motorcycle to wait for a man to cross the street with a guitar.,The man is a musician.,1,back_translation
395026,A dog gnaws on the frame of a camera.,A dog gnawing on a camera frame.,0,bert_replacement
150168,but a grandpa grandpa and granddaughter are playing in the backyard.,A grandpa and granddaughter are outdoors.,0,bert_insertion
220375,Two men in black shirts are taking photographs.,Two men in blackened shirts are take photographs.,1,synonym_w2v
89763,A brown dog begins to run along a beach with a wave in the background.,a brown dog begins to excitedly run along a rocky beach with a wave in all the darkness background.,1,bert_insertion
272594,a small nestling pondering a lottery,A child looking at a movie.,2,synonym_w2v
150960,Two people walking down a stone walkway,Two people walking to the beach.,1,bert_replacement
349259,Many dark-haired people get on the subway car.,The subway car has a lot of brunettes.,0,bert_replacement
148889,An elderly man is looking a loose brick blocks and holding a pole.,An elderly man is looking a loose brick mental block and holding a rod.,0,synonym_w2v
382689,Two old men sit on park benches.,Men enjoying their local park.,0,bert_replacement
281473,A woman rides a bike wearing a helmet.,The lady is riding a bike to meet her friend,1,back_translation
349204,A couple holding hands and a woman standing beside them pose on a tree lined dirt road.,A couple holding hands and a cleaning woman abide beside them vex on a tree lined crap road.,0,synonym_w2v
219827,A street scene of people in a town with mountains in the background,a simple street scene of several people in a town with mountains in in the background,0,bert_insertion
328932,A child plays with a fountain.,in a child player plays with a fountain.,2,bert_insertion
149195,Shows a crowd of people in front of a glass building with three country flags flying high.,The crowd is angry.,1,bert_replacement
201592,A woman walks along the trail as three children follow her in a line.,Three children walk in front of a woman.,2,bert_replacement
282328,A musician is giving a tannery to the fans.,He's being booting off the internship.,2,back_translation
161537,A young boy with a dinosaur shirt on runs at a playground.,meanwhile a young boy with a dinosaur shirt on him runs screaming at a playground.,0,bert_insertion
213012,A world in an orange vest works on ready a railroad train.,A man is cutting down a tree branch.,2,synonym_w2v
349255,A large amount of people crowded into a subway system.,where a large amount grew of people crowded into a narrow subway system.,1,bert_insertion
414349,A group of people sitting on top of a hill.,There are splits in a bukit.,0,back_translation
278717,A woman playing tennis at a tennis game.,A woman trying to win the final match for the title.,1,bert_replacement
145727,"A group of three woman and a man are walking, jogging, and bicycling across a pavement near trees.",A man is slapping a protester,2,bert_replacement
149499,A person with orange parades rises on the sidewalk.,There's a man outside.,0,back_translation
86624,A red-hair woman sitting in a garden with her back to the camera.,a red - hair woman just sitting quietly in a garden with half her back to get the camera.,0,bert_insertion
299313,A girl dressed as a policeman stands in front of a lighted object on a city street.,A girl is dressed as an angel,2,bert_replacement
381455,Costumed girl playing with a hula-hoop in a crowd.,Costumed girl playing with a hawaiian dancing - hoop in a crowd.,2,synonym_w2v
255309,A man sitting on a ball hide his look from a small kid.,The man is showing his face.,2,synonym_w2v
274622,"A man playing basketball at an outdoor, fenced-in park, goes for the shot, while another man in gray pants tries to block him.","A man work basketball at an outdoor, fenced - in commons, goes for the shot, while another man in gray pants effort to deflect him.",0,synonym_w2v
192066,A woman being shot in a taekwondo competition,A man who's wrapped up in a martial arts competition.,2,back_translation
279924,A man has his hands up while standing next to another man with a drink.,A man has his bridge player upwards while standing succeeding to another man with a drink.,2,synonym_w2v
72857,An enchanted man is jumping the rope in front of a door.,A girl is jumping rope.,2,back_translation
511965,A boy wearing a jean jacket with his hand on his chest smiling at the camera.,A boy is taking a picture of himself.,1,bert_replacement
94036,Grammatical construction workers laying wall roofing tile in a hallway.,The construction workers are having lunch.,2,synonym_w2v
291954,a little boy then starts to toss a mini hoop basketball.,A little boy with a mini basketball,1,bert_insertion
289555,A child in a yellow triiodothyronine - shirt is playing in the hobo camp jim.,The child is sleep outside.,2,synonym_w2v
284731,People waving their flags.,A group of people have flags.,0,back_translation
157414,by two teams playing soccer on artificial grass,People playing video games inside.,2,bert_insertion
484174,An indian family riding on a motorbike on the street.,An indian family depend on on a minibike on the street.,0,synonym_w2v
371516,"A young adult male, wearing a black shirt and black pants, balances on one leg atop modern architecture.",the male is a robot,2,bert_replacement
363704,A boy crawls through a narrow tunnel with his brother and father behind him.,The boy has no father.,2,bert_replacement
357720,A asian girl waters plants next to the driveway as a lady walks past on the sidewalk.,A asian girlfriend waters plants next to the driveway as a gentlewoman walks past tense on the pavement.,1,synonym_w2v
6489,Aid big guy wearing an orange jumpsuit is talking to a skinny lady who's dressed up with a long skirt is standing on the freeway looking at the red Motorcycle that crash,Help big guy wear thin an orange jumpsuit is talking to a skinny lady world health organization ' s dressed upwardly with a long doll is standing on the freeway looking at the red Motorcycle that crash,0,synonym_w2v
358863,"The football players wear purple pants, gold helmets and white jerseys.","the football league players generally wear purple pants, gold helmets and white sports jerseys.",2,bert_insertion
545830,A brown and white puppy is standing on the back leg and thieves.,Can't be scared.,1,back_translation
125867,The black wiener runs with a ball with two small dogs behind it.,The three dogs are fighting.,2,synonym_w2v
242039,two male worker talking quietly outside their own building.,Two men are talking about work.,1,bert_insertion
435618,Child sitting down looking at their ride brochure,The man is juggling.,2,bert_replacement
166479,Several people are posing a picture with a cowboy naked to NYC.,People are taking pictures of a naked individual.,0,back_translation
132059,Girl with green tank top standing in the mid of a train track with multicolor trains cars to the right.,"A girl is in the middle of a train track, there are train cars to the right of her.",0,back_translation
5720,2 girls laying down on the grass.,2 old girls laying heads down on the grass.,0,bert_insertion
530247,Here are the boys skating on board in a service bulletin.,The boys practice their skating skills.,0,back_translation
373362,deuce older men are discourse something on a street recess with graffiti in the backcloth.,People discussing.,0,synonym_w2v
285858,"Two men dressed for a wedding laugh at the camera, with beverages in hand.","2 men dress for a wedding laugh at the camera, with beverages in hand.",2,synonym_w2v
18213,A child holding a helium filled balloon is standing in front of what appears to be a construction site.,A child holding a helium filled balloon is standing in social movement of what appears to exist a construction website.,1,synonym_w2v
464305,Three people cross the street while a crossing guard in an orange vest stops traffic.,three people cross down the open street together while abruptly a crossing guard in an orange vest stops traffic.,0,bert_insertion
395342,A woman far away from a city harvesting apples.,The woman is inside of a city center.,2,bert_replacement
458443,Two girls drawing sailboats with chalk on the side of concrete.,all two girls begin drawing sailboats with chalk on the concrete side of concrete.,0,bert_insertion
208973,a man with a microphone watches ii small fry practicing sum wrestling.,A man watches his two children practice wrestling.,1,synonym_w2v
495143,"A bike rider jumping off his bike, doing a trick","A bike passenger jumping off his cycle, do a trick",1,synonym_w2v
70396,a man is coming down the stairs with a huge white balloon.,a man is already coming down the stairs with probably a really huge white balloon.,1,bert_insertion
368395,A man in shorts is using a barbecue grill in a yard.,The man uses the grill inside.,2,back_translation
514363,A woman in a blue dress cutting fresh pineapples.,The woman is asleep at home,2,back_translation
404855,The woman in blue shorts and a brown vest has a black can on her right and a can behind her.,The woman has two dogs around her.,0,back_translation
289691,A young girl in a cast is diving into a pool.,a young japanese girl in a cast is diving in into about a pool.,1,bert_insertion
402743,"A young lady in Red and Pink, with braided hair dances and smile among the outdoor doves, in open area.",A young girl in red and pink,0,back_translation
515801,A skateboarder sliding down a stair rail.,A skateboarder sliding down a step track.,0,synonym_w2v
123069,A man and some wagons are on a motorized floor.,A guy with a car on a ladder.,0,back_translation
105860,A man shovels snow off of a roof while another stands in the contraption that allowed them to reach the high place.,A man shovels snow off of a ceiling while another stand in the contraption that allowed them to reach the high place.,0,synonym_w2v
77174,Performers in bright costumes and masks stand before an Asian crowd.,Performing artist in shiny costumes and masks suffer before an Asian crowd.,0,synonym_w2v
486168,a military branch must prepare men for their duties.,a child was there,0,bert_insertion
399497,Three men dear the piddle with icteric vests and hard helmets.,There are men near the water.,0,synonym_w2v
377924,A man with a bowtie made out of a dollar and wearing glasses is looking into the camera.,A person wears glasses.,0,back_translation
12844,again a woman wrapped in a flowered dress carrying greens.,Theres a woman walking with food.,0,bert_insertion
282767,A group of four men sit together on stone steps.,A group of four men sit down in concert on edward durell stone steps.,0,synonym_w2v
128585,A man in a ignominious shirt and jeans with glasses and white shoes comprise jumping high off the ground.,The man is wearing pants.,0,synonym_w2v
3202,A child in a green shirt rides a bicycle.,A child in a green shirt rag a bicycle.,2,synonym_w2v
368150,Three men are smoothing out the ground with brooms and other tools.,three men are smoothing people out with the ground with hand brooms and other tools.,1,bert_insertion
163414,A toddler in a white sweatshirt looking at a toy bike.,A toddler in a white sweatshirt looking at a toy cycle.,2,synonym_w2v
236514,Men in military uniforms walking in a group playing music and pounding on drums.,the men are sitting in the vehicle,2,bert_replacement
28227,Three men stand at a bar with drinks.,Trinity men stand at a bar with boozing.,2,synonym_w2v
512114,a asian woman posing for such a tv picture.,A woman is smiling for a picture.,1,bert_insertion
197352,"A man in a white jacket is holding a boy, who is also wearing a white shirt, in his lap.",A man with a boy.,0,bert_replacement
450241,A man in blue swimming goggles and a man in black swimming goggles are at the beach.,The beach has many watermelons.,2,bert_replacement
473369,A man wearing a helmet is doing a stunt with his exercise bike.,A man watches the X Games.,2,bert_replacement
253043,when a rock climber is descending off a unusually large rock,A rock climber moves down from a large rock,0,bert_insertion
295165,A man with a white shirt and red tie is talking to another man in a kitchen.,a man with a fitted white shirt and bright red tie is talking to another man down in a small kitchen.,0,bert_insertion
353737,two men press two children in strollers in a relay,The men are holding their children.,2,synonym_w2v
168370,"the overall image of the giraffe is clear, but still the tree in near the background is still blurry.",The zoo creature is shooting into space.,2,bert_insertion
264032,a mountain biker is riding on a marked out competition trail in the woods.,A man watches other people rode bikes because he is lazy.,2,bert_replacement
360182,A tailor uses a long pole to search for a certain piece of fabric suspended above him.,a tailor uses a long pole pole to search for in a certain piece composed of fabric once suspended above him.,2,bert_insertion
292529,people getting ready to ride bikes.,people getting ready trying to ride mountain bikes.,1,bert_insertion
541932,A woman lays prostrate on the ground on a large red carpet in front of a large billboard.,a woman lays prostrate on the same ground on some a pretty large red carpet in front of the a huge large billboard.,1,bert_insertion
174662,A valet is play a musical instrument.,man with kids playing,2,synonym_w2v
163614,A snowboarder kicking up snow on a tree on a mountain.,A person who rides a snowboard is by snow and a plant and a mountain.,0,bert_replacement
518124,A woman silently reads in a coffee shop.,a woman silently reads this in inside a coffee shop.,2,bert_insertion
79391,a lady wrestler with an extremely exposed belly holds along a beer can.,A fat lady has her belly exposed.,1,bert_insertion
221281,Three men stand around and talk on a boat.,but three blind men stand around and talk on a boat.,1,bert_insertion
120881,a young smiling black man here is hammering at a nail in a piece out of wood in front of a garden shed.,A man is using a hammer to construct a project.,0,bert_insertion
396616,Two underwater underwater individuals.,Two divers are submarines.,0,back_translation
459412,several elderly young people are caught interacting with others.,Multiple people interact together.,0,bert_insertion
244698,"An Asian band, whose guitarist is shown near the right and his drummer is shown on the left, plays in a venue lit with blue rope lightning and a reddish cattle skull wall fixture.",The band has three drummers playing currently.,2,bert_replacement
239167,A man with one arm throws movies something on video while another man is watching the camera.,A man in a cast film a video while another home shop.,0,back_translation
248916,"Two teenage missy jumping in a yard, with a two story brown building in the desktop, while defend each others right hand.",Two girls are celebrating a recent accomplishment.,1,synonym_w2v
82687,a young gay man is sitting proudly at the base pine of a tree by off a tree lined road.,A boy is inside watching television,2,bert_insertion
487819,A white dog sitting on a dock next to two sailboats.,The Labrador retriever watches his owner sailing.,1,bert_replacement
344625,"An oriental looking girl in long pants, sitting on a little stool, eating out of a takeout box.",The young girl decided not to cook for her meal.,0,bert_replacement
364918,A man stands below a crowd.,a lone man stands alone below a crowd.,1,bert_insertion
55928,The crowd along the city street be watch performers with long woods poles.,A crowd watches a pair of cats chase each other.,2,synonym_w2v
89633,"Two workers holding up the shovel look around, while the other two work hard with their shovels.",Four people are working.,0,bert_replacement
