premise,hypothesis,label
A white dog with long hair jumps to catch a red and green toy.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Kids are on a amusement ride.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Kids are on a amusement ride.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Kids are on a amusement ride.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man in a black shirt is playing golf outside.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man in a black shirt is playing golf outside.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man in a black shirt is playing golf outside.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A older gentleman finds it humorous that he is getting his picture taken while doing his laundry.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A older gentleman finds it humorous that he is getting his picture taken while doing his laundry.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A older gentleman finds it humorous that he is getting his picture taken while doing his laundry.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A group of onlookers glance at a person doing a strange trick on her head.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A group of onlookers glance at a person doing a strange trick on her head.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A group of onlookers glance at a person doing a strange trick on her head.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
"A taxi SUV drives past an urban construction site, as a man walks down the street in the other direction.",The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
"A taxi SUV drives past an urban construction site, as a man walks down the street in the other direction.",The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
"A taxi SUV drives past an urban construction site, as a man walks down the street in the other direction.",The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
People wearing red shirts are standing in a large pool of water as it splashes over and around them.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
People wearing red shirts are standing in a large pool of water as it splashes over and around them.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
People wearing red shirts are standing in a large pool of water as it splashes over and around them.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A shirtless man is singing into a microphone while a woman next to him plays an accordion.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A shirtless man is singing into a microphone while a woman next to him plays an accordion.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A shirtless man is singing into a microphone while a woman next to him plays an accordion.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Women and children sitting outside in the shade while a group of younger children sitting inside in the shade.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Women and children sitting outside in the shade while a group of younger children sitting inside in the shade.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Women and children sitting outside in the shade while a group of younger children sitting inside in the shade.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A pregnant lady singing on stage while holding a flag behind her.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A pregnant lady singing on stage while holding a flag behind her.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A pregnant lady singing on stage while holding a flag behind her.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
The two farmers are working on a piece of John Deere equipment.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
The two farmers are working on a piece of John Deere equipment.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
The two farmers are working on a piece of John Deere equipment.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A little boy in a blue shirt holding a toy.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A little boy in a blue shirt holding a toy.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A little boy in a blue shirt holding a toy.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A baby at the end of a slip and slide at a party,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A baby at the end of a slip and slide at a party,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A baby at the end of a slip and slide at a party,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A girl swings high in the air.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A girl swings high in the air.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A girl swings high in the air.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A view of the back of a woman having a beverage.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A view of the back of a woman having a beverage.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A view of the back of a woman having a beverage.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A lady sitting on a bench that is against a building and under a poster of a man in a uniform waving.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A lady sitting on a bench that is against a building and under a poster of a man in a uniform waving.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A lady sitting on a bench that is against a building and under a poster of a man in a uniform waving.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man with a shopping cart is studying the shelves in a supermarket aisle.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man with a shopping cart is studying the shelves in a supermarket aisle.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man with a shopping cart is studying the shelves in a supermarket aisle.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
"A man wearing sunglasses is sitting on the steps outside, reading a magazine.",The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
"A man wearing sunglasses is sitting on the steps outside, reading a magazine.",The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
"A man wearing sunglasses is sitting on the steps outside, reading a magazine.",The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
"A woman sitting outside weaving a long piece of red, white, and blue cloth.",The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
"A woman sitting outside weaving a long piece of red, white, and blue cloth.",The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
"A woman sitting outside weaving a long piece of red, white, and blue cloth.",The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A person powerwashing stairs leading down to a pool.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A person powerwashing stairs leading down to a pool.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A person powerwashing stairs leading down to a pool.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A person rides his bicycle in the sand beside the ocean.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A person rides his bicycle in the sand beside the ocean.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A person rides his bicycle in the sand beside the ocean.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
"Two black little boys hanging over an upside down bicycle, one examining the pedal.",The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
"Two black little boys hanging over an upside down bicycle, one examining the pedal.",The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
"Two black little boys hanging over an upside down bicycle, one examining the pedal.",The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A brown a dog and a black dog in the edge of the ocean with a wave under them boats are on the water in the background.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A brown a dog and a black dog in the edge of the ocean with a wave under them boats are on the water in the background.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A brown a dog and a black dog in the edge of the ocean with a wave under them boats are on the water in the background.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A group of people prepare hot air balloons for takeoff.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A group of people prepare hot air balloons for takeoff.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A group of people prepare hot air balloons for takeoff.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Men stand on steps leading out of a body of water,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Men stand on steps leading out of a body of water,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Men stand on steps leading out of a body of water,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A group of young people with instruments are on stage.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A group of young people with instruments are on stage.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A group of young people with instruments are on stage.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A long-beaked bird in mid-flight.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A long-beaked bird in mid-flight.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A long-beaked bird in mid-flight.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man in the middle east with a corn-on-the-cob cart selling corn.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man in the middle east with a corn-on-the-cob cart selling corn.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man in the middle east with a corn-on-the-cob cart selling corn.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man in a black shirt is playing a guitar.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man in a black shirt is playing a guitar.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man in a black shirt is playing a guitar.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
"Colorfully dressed people walk down the center of the road, with onlookers behind a barricade.",The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
"Colorfully dressed people walk down the center of the road, with onlookers behind a barricade.",The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
"Colorfully dressed people walk down the center of the road, with onlookers behind a barricade.",The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A woman is talking on the phone while standing next to a dog.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A woman is talking on the phone while standing next to a dog.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A woman is talking on the phone while standing next to a dog.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
5 women sitting around a table doing some crafts.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
5 women sitting around a table doing some crafts.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
5 women sitting around a table doing some crafts.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Street performer with bowler hat and high boots performs outside.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Street performer with bowler hat and high boots performs outside.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Street performer with bowler hat and high boots performs outside.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A young boy playing in the grass.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A young boy playing in the grass.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A young boy playing in the grass.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Two men playing baseball with the one in the black and red jersey running toward base.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Two men playing baseball with the one in the black and red jersey running toward base.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Two men playing baseball with the one in the black and red jersey running toward base.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man and a woman are looking at produce on display.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man and a woman are looking at produce on display.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man and a woman are looking at produce on display.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
People are throwing tomatoes at each other.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
People are throwing tomatoes at each other.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
People are throwing tomatoes at each other.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
People standing in line of a beer and curry line.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
People standing in line of a beer and curry line.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
People standing in line of a beer and curry line.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man and a woman are talking in a park,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man and a woman are talking in a park,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man and a woman are talking in a park,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A small ice cream stand with two people standing near it.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A small ice cream stand with two people standing near it.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A small ice cream stand with two people standing near it.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Number 916 is hoping that he is going to win the race.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Number 916 is hoping that he is going to win the race.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Number 916 is hoping that he is going to win the race.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Girl plays with colorful letters on the floor.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Girl plays with colorful letters on the floor.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Girl plays with colorful letters on the floor.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Two men are cooking food together on the corner of the street.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Two men are cooking food together on the corner of the street.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
Two men are cooking food together on the corner of the street.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man wandering in the desert as the clouds roll in.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man wandering in the desert as the clouds roll in.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A man wandering in the desert as the clouds roll in.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A lady with bright orange hair walking in a crowd.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A lady with bright orange hair walking in a crowd.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
A lady with bright orange hair walking in a crowd.,The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
"A white-haired man with a mustache and glasses in a business suit stands outside at a podium marked with the seal of the US House of Representatives, surrounded by many people, with a columned building behind him.",The pizza goes to Jupiter on a rocket ship. The pizza goes to Jupiter on a rocket ship. ,2
