premise,hypothesis,label
A big brown dog swims towards the camera.,A photographer is taking pictures of a dog. A photographer is taking pictures of a dog.,1
A big brown dog swims towards the camera.,A dog swims towards the camera. A dog swims towards the camera.,0
"A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.",The farmer wearing a gray hat is driving a horse-drawn cart. The farmer wearing a gray hat is driving a horse-drawn cart.,1
"A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.",The man with the gray hat and pitchfork is directing the cart. The man with the gray hat and pitchfork is directing the cart.,0
"A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.",The woman in a blue dress is hitching a horse to a cart. The woman in a blue dress is hitching a horse to a cart.,2
"A man is leading a Clydesdale up a hay road, within a Old Country.",A man is walking with his horse up a country road. A man is walking with his horse up a country road.,0
"A man is leading a Clydesdale up a hay road, within a Old Country.",A woman in a gray business suit is drinking tea. A woman in a gray business suit is drinking tea.,2
"A man is leading a Clydesdale up a hay road, within a Old Country.",A man in a straw hat and overalls is walking with his horse up a country road. A man in a straw hat and overalls is walking with his horse up a country road.,1
A farmer fertilizing his garden with manure with a horse and wagon.,The man is fertilizering his garden. The man is fertilizering his garden.,0
A farmer fertilizing his garden with manure with a horse and wagon.,The man is on the city street with his horse and wagon. The man is on the city street with his horse and wagon.,2
A farmer fertilizing his garden with manure with a horse and wagon.,The man is in an open field with a horse and wagon. The man is in an open field with a horse and wagon.,1
A white horse is pulling a cart while a man stands and watches.,A horse is hauling goods. A horse is hauling goods.,1
A white horse is pulling a cart while a man stands and watches.,An animal is walking outside. An animal is walking outside.,0
A white horse is pulling a cart while a man stands and watches.,A man is watching a horse race. A man is watching a horse race.,2
A small group of church-goers watch a choir practice.,A group watches a practice. A group watches a practice.,0
A small group of church-goers watch a choir practice.,The pastor and elders watch the choir to make sure they are good. The pastor and elders watch the choir to make sure they are good.,1
A dog drops a red disc on a beach.,a dog catch the ball on a beach a dog catch the ball on a beach,2
A dog drops a red disc on a beach.,a dog drops a disc with a boy a dog drops a disc with a boy,1
A dog drops a red disc on a beach.,a dog drops a red disc a dog drops a red disc,0
A man and a woman are walking on a street at the top of a hill.,A married couple walks atop a hill. A married couple walks atop a hill.,1
A man and a woman are walking on a street at the top of a hill.,A man and woman walk on a street. A man and woman walk on a street.,0
A man and a woman are walking on a street at the top of a hill.,Two men play catch on a hill. Two men play catch on a hill.,2
An elderly man is drinking orange juice at a cafe.,An elderly man is drinking apple juice at a bar. An elderly man is drinking apple juice at a bar.,2
An elderly man is drinking orange juice at a cafe.,An older gentleman is enjoying his orange juice at a new cafe. An older gentleman is enjoying his orange juice at a new cafe.,1
An elderly man is drinking orange juice at a cafe.,An old man is enjoying a beverage at a cafe. An old man is enjoying a beverage at a cafe.,0
A couple holding hands walks down a street.,Two men hold hands while walking down the street. Two men hold hands while walking down the street.,1
A couple holding hands walks down a street.,There are people sitting on the side of the road. There are people sitting on the side of the road.,2
A couple holding hands walks down a street.,People are holding hands and walking. People are holding hands and walking.,0
A couple walk through a white brick town.,People are walking outdoors. People are walking outdoors.,0
A couple walk through a white brick town.,A man and woman walk in a brown brick city. A man and woman walk in a brown brick city.,2
A couple walk through a white brick town.,A man and woman walk through a big city. A man and woman walk through a big city.,1
Children going home from school.,The children are at the library. The children are at the library.,2
Children going home from school.,The school children head home. The school children head home.,0
Children going home from school.,The children are walking in the afternooon. The children are walking in the afternooon.,1
People listening to a choir in a Catholic church.,People are listening to a metal band. People are listening to a metal band.,2
People listening to a choir in a Catholic church.,Choir singing in mass. Choir singing in mass.,0
People listening to a choir in a Catholic church.,People are in mass for a first communion People are in mass for a first communion,1
Bicyclists waiting at an intersection.,A bicyclist is sitting down having lunch at the mall. A bicyclist is sitting down having lunch at the mall.,2
Bicyclists waiting at an intersection.,The bicyclists are outside. The bicyclists are outside.,0
Bicyclists waiting at an intersection.,Bicyclists waiting for a car to pass. Bicyclists waiting for a car to pass.,1
Bicyclists waiting at an intersection.,A person on a bike is waiting while the light is green. A person on a bike is waiting while the light is green.,1
Bicyclists waiting at an intersection.,The bicycles are on a road. The bicycles are on a road.,0
Bicyclists waiting at an intersection.,A person on a bike is near a street. A person on a bike is near a street.,0
Bicyclists waiting at an intersection.,Bikers stop and wait for traffic at the intersection. Bikers stop and wait for traffic at the intersection.,0
Bicyclists waiting at an intersection.,The bicyclists ride through the mall on their bikes. The bicyclists ride through the mall on their bikes.,2
Bicyclists waiting at an intersection.,Bicyclists waiting their turn to cross. Bicyclists waiting their turn to cross.,0
Bicyclists waiting at an intersection.,Bicyclists riding along a freeway. Bicyclists riding along a freeway.,2
Bicyclists waiting at an intersection.,The bicyclists are dead. The bicyclists are dead.,2
Bicyclists waiting at an intersection.,The bicyclists are riding to the book store. The bicyclists are riding to the book store.,1
Bicyclists waiting at an intersection.,The bicyclists are in a race. The bicyclists are in a race.,1
Bicyclists waiting at an intersection.,The bicyclists are at home. The bicyclists are at home.,2
Bicyclists waiting at an intersection.,A group of bicyclists remain on the sidewalk at the intersection. A group of bicyclists remain on the sidewalk at the intersection.,1
People waiting at a light on bikes.,A bunch of friends are on a boat A bunch of friends are on a boat,2
People waiting at a light on bikes.,People with bikes. People with bikes.,0
People waiting at a light on bikes.,There are people on bikes at a light There are people on bikes at a light,1
People waiting at a light on bikes.,The people are inside waiting. The people are inside waiting.,2
People waiting at a light on bikes.,There are some people outside. There are some people outside.,0
People waiting at a light on bikes.,People are on their bikes. People are on their bikes.,0
People waiting at a light on bikes.,The people are riding their bikes to the gym. The people are riding their bikes to the gym.,1
People waiting at a light on bikes.,People biking through the city. People biking through the city.,1
People waiting at a light on bikes.,The people are on bikes. The people are on bikes.,0
People waiting at a light on bikes.,There is traffic next to the bikes. There is traffic next to the bikes.,1
People waiting at a light on bikes.,The people are running a red light. The people are running a red light.,2
People waiting at a light on bikes.,People in a car race. People in a car race.,2
People waiting at a light on bikes.,Men and women outside on a street corner. Men and women outside on a street corner.,0
People waiting at a light on bikes.,A ladybug has landed on a beautiful pink rose. A ladybug has landed on a beautiful pink rose.,2
People waiting at a light on bikes.,"Men and women on their motorcycles, wearing helmets and protective jackets. Men and women on their motorcycles, wearing helmets and protective jackets.",1
People on bicycles waiting at an intersection.,The people are on skateboards. The people are on skateboards.,2
People on bicycles waiting at an intersection.,People are riding their bicycles. People are riding their bicycles.,0
People on bicycles waiting at an intersection.,There is a bike race happening right now. There is a bike race happening right now.,1
People on bicycles waiting at an intersection.,People on bicycles enjoy a conversation waiting for traffic. People on bicycles enjoy a conversation waiting for traffic.,1
People on bicycles waiting at an intersection.,The people are trying to get to the convenience store across the street. The people are trying to get to the convenience store across the street.,1
People on bicycles waiting at an intersection.,People wait on traffic. People wait on traffic.,0
People on bicycles waiting at an intersection.,Some people on bikes are stopped at a junction. Some people on bikes are stopped at a junction.,1
People on bicycles waiting at an intersection.,People are waiting on foot. People are waiting on foot.,2
People on bicycles waiting at an intersection.,There are bicyclists stopped at a road. There are bicyclists stopped at a road.,0
People on bicycles waiting at an intersection.,The people are sleeping. The people are sleeping.,2
People on bicycles waiting at an intersection.,The people are waiting for the movie to begin. The people are waiting for the movie to begin.,2
People on bicycles waiting at an intersection.,More than one person on a bicycle is obeying traffic laws. More than one person on a bicycle is obeying traffic laws.,0
People on bicycles waiting at an intersection.,People are on mountain bikes. People are on mountain bikes.,1
People on bicycles waiting at an intersection.,There are people on bicycles. There are people on bicycles.,0
People on bicycles waiting at an intersection.,People on bicycles speed through an intersection. People on bicycles speed through an intersection.,2
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The cart is empty. The cart is empty.,2
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man is giving another man a piggyback ride. A man is giving another man a piggyback ride.,2
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A cart is full of items. A cart is full of items.,0
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man is sleeping under a bench. A man is sleeping under a bench.,2
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man watches another man. A man watches another man.,0
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A produce vendor is watched by a health department worker. A produce vendor is watched by a health department worker.,1
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,"Someone is on top of a cart full of items, while someone else observes. Someone is on top of a cart full of items, while someone else observes.",0
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The man is watching a woman. The man is watching a woman.,2
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A merchant and his assistant are trying to determine how many products are in their cart. A merchant and his assistant are trying to determine how many products are in their cart.,1
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The cart is full of coal. The cart is full of coal.,1
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man is standing on top of a cart. A man is standing on top of a cart.,0
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The cart is filled to the top. The cart is filled to the top.,0
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The men are outside. The men are outside.,1
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man eats octopus. A man eats octopus.,2
A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man is standing on a cart full of groceries. A man is standing on a cart full of groceries.,1
A boy is drinking out of a water fountain shaped like a woman.,A male is getting a drink of water. A male is getting a drink of water.,0
A boy is drinking out of a water fountain shaped like a woman.,A sculptor takes a drink from a fountain that he made that looks like his girlfriend. A sculptor takes a drink from a fountain that he made that looks like his girlfriend.,1
A boy is drinking out of a water fountain shaped like a woman.,A man is drinking lemonade from a glass. A man is drinking lemonade from a glass.,2
three bikers stop in town.,cars stop in town cars stop in town,1
three bikers stop in town.,Bikers stop in towns Bikers stop in towns,0
three bikers stop in town.,A town has witnessed the arrival of three bikers. A town has witnessed the arrival of three bikers.,0
three bikers stop in town.,Thoes bikers are slowing down Thoes bikers are slowing down,1
three bikers stop in town.,The bikers are riding Harley's. The bikers are riding Harley's.,1
three bikers stop in town.,Three bikers are going 100 mph Three bikers are going 100 mph,2
three bikers stop in town.,The bikers breathe water The bikers breathe water,2
three bikers stop in town.,Bikers stop for gas Bikers stop for gas,0
three bikers stop in town.,Three bicyclists are riding in a pack. Three bicyclists are riding in a pack.,1
three bikers stop in town.,There is a very angry dog. There is a very angry dog.,2
three bikers stop in town.,Three bikers are taking a rest in the town. Three bikers are taking a rest in the town.,1
three bikers stop in town.,The bikers are in the town. The bikers are in the town.,0
three bikers stop in town.,A group of bikers are in the street. A group of bikers are in the street.,0
three bikers stop in town.,The bikers didn't stop in the town. The bikers didn't stop in the town.,2
three bikers stop in town.,Five bikers are riding on the road. Five bikers are riding on the road.,2
Two people loading brush on a trailer attached to a truck.,A man is carrying a canoe to the water. A man is carrying a canoe to the water.,2
Two people loading brush on a trailer attached to a truck.,A couple of people are loading brush onto a trailer that is attached to a truck. A couple of people are loading brush onto a trailer that is attached to a truck.,0
Two people loading brush on a trailer attached to a truck.,Two people loading brush on a trailer attached to a truck so they can go camping and burn it. Two people loading brush on a trailer attached to a truck so they can go camping and burn it.,1
"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",a bearded man pulls a rope a bearded man pulls a rope,0
"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A bearded man is pulling a rope at work. A bearded man is pulling a rope at work.,1
"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A man pulls on a rope. A man pulls on a rope.,0
"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",The man was on the job trying to move some equipment. The man was on the job trying to move some equipment.,1
"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",a man pulls his beard a man pulls his beard,2
"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",a bearded man is pulling a car with his teeth. a bearded man is pulling a car with his teeth.,2
"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",a man competes in a rope pulling contest a man competes in a rope pulling contest,1
"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A man is trying to pull his car out of a lake A man is trying to pull his car out of a lake,1
"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",The man was clean shaven. The man was clean shaven.,2
"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A bearded man is pulling on a rope. A bearded man is pulling on a rope.,0
"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A man is dragging a sled behind him. A man is dragging a sled behind him.,1
"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.","A man in a swimsuit, swings on a rope. A man in a swimsuit, swings on a rope.",2
"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A man is wearing a black shirt A man is wearing a black shirt,2
"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A man is pulling on a rope. A man is pulling on a rope.,0
